fit_date, subtype_id, groups, times
2020-11-1,6,1,18
2020-11-1,6,2,20
2020-11-1,30,2,30
2020-11-1,25,1,25
2020-11-1,44,1,20
2020-11-1,44,1,50
2020-11-1,57,6,19
2020-11-1,55,1,35
2020-11-2,36,2,14
2020-11-2,36,2,12
2020-11-2,36,2,10
2020-11-2,35,1,9
2020-11-3,12,1,10
2020-11-3,12,4,6
2020-11-4,57,6,20
2020-11-4,55,1,35
2020-11-6,36,2,15
2020-11-6,36,2,12
2020-11-6,36,2,10
2020-11-6,35,1,9
2020-11-7,12,1,10
2020-11-7,12,4,6
2020-11-7,30,2,30
2020-11-7,25,1,25
2020-11-7,44,1,20
2020-11-7,44,1,50
2020-11-8,57,6,20
2020-11-8,55,1,35
2020-11-10,36,2,14
2020-11-10,36,1,12
2020-11-10,36,2,10
2020-11-10,35,1,9
2020-11-11,12,4,10
2020-11-11,12,4,4
2020-11-13,57,6,20
2020-11-13,55,1,35
2020-11-14,36,2,14
2020-11-14,36,1,12
2020-11-14,36,2,10
2020-11-14,35,1,9
2020-11-14,35,1,10
2020-11-15,12,1,10
2020-11-15,12,4,4
2020-11-17,57,6,20
2020-11-17,55,1,30
2020-11-18,36,2,15
2020-11-18,36,2,13
2020-11-18,36,1,11
2020-11-18,35,1,9
2020-11-20,13,3,10
2020-11-21,58,1,2
2020-11-22,6,1,18
2020-11-22,6,2,20
2020-11-22,30,2,30
2020-11-22,25,1,25
2020-11-22,57,6,19
2020-11-22,55,1,35
2020-11-23,13,1,10
2020-11-25,58,4,3
2020-11-25,55,2,30
2020-11-29,58,4,10
2020-11-29,55,1,35
