fit_date, subtype_id, groups, times
2019-12-1,3,3,30
2019-12-1,32,1,19
2019-12-1,32,4,11
2019-12-2,24,3,25
2019-12-3,54,3,25
2019-12-4,3,3,30
2019-12-4,32,1,19
2019-12-4,32,4,12
2019-12-6,24,3,25
2019-12-7,54,3,25
2019-12-7,54,1,10
2019-12-7,44,1,50
2019-12-8,4,2,4
2019-12-8,32,1,20
2019-12-8,32,4,12
2019-12-9,24,3,25
2019-12-10,24,3,25
2019-12-11,4,3,5
2019-12-11,32,1,20
2019-12-11,32,4,13
2019-12-13,25,3,19
2019-12-14,54,3,25
2019-12-14,44,1,50
2019-12-15,2,1,40
2019-12-15,5,2,5
2019-12-15,32,4,14
2019-12-15,32,1,21
2019-12-16,25,3,25
2019-12-17,54,3,25
2019-12-18,5,3,7
2019-12-18,32,4,14
2019-12-18,32,1,22
2019-12-20,25,3,25
2019-12-21,55,3,17
2019-12-21,44,1,50
2019-12-21,45,1,15
2019-12-22,32,5,15
2019-12-22,32,1,23
2019-12-23,25,3,25
2019-12-24,55,3,16
2019-12-25,5,1,12
2019-12-25,5,2,10
2019-12-25,32,4,16
2019-12-25,32,1,23
2019-12-27,25,3,25
2019-12-28,55,3,16
2019-12-28,44,1,50
2019-12-28,45,1,25
2019-12-29,32,4,18
2019-12-29,32,1,24
2019-12-29,5,3,12
2019-12-30,25,3,25
2019-12-31,5,3,12
